日本語,説明
社長,
取締役,
代表,
責任者,
部長,
課長,
係長,
CEO,Chief Exective Officer。最高経営責任者。
COO,"Chief Operating Officer 。最高執行責任者。
事業運営に関する業務執行を統括する責任者。
CEOの下で事業を統括する立場の役員をCOOとすることが多い。"
CIO,"Chief Information Officer 。
最高情報責任者。
経営戦略に沿ったIT技術に関する責任者。
社内システムに関することの責任者とすることもあれば、
CTOより上位の経営とIT技術全般に対する責任者とされることもある。"
CTO,"Chief Technology Officer 。最高技術責任者。
CIOと同義、もしくはCIOの下でIT技術に関する業務執行を統括する責任者とされる。"
CFO,"Chief Financial Officer 。最高財務責任者。
会社の会計的な業務執行を行う責任者。"
CAO,Chief Accounting Officer 。最高会計責任者。
CBO,"Chief Business Officer 。最高業務責任者。
Chief Branding Officer 。最高ブランド開発責任者。"
CCO,"Chief Compliance Officer 。最高遵法責任者。
Chief Communication Officer 。最高コミュニケーション責任者。
Chief Creative Officer 。最高クリエイティブ責任者。"
CDO,Chief Development Officer 。最高開発責任者。
CHO,Chief Human resource Officer 。最高人事責任者。
CJO,Chief Judicial Officer 。最高法務責任者。
CKO,Chief　Knowledge　Officer 。最高知識責任者。
CLO,"Chief Legal Officer 。最高法務責任者。
Chief Learning Officer 。最高人材育成責任者。
Chief Logistics Officer 。最高物流担当責任者。"
CMO,Chief Marketing Officer 。最高顧客市場分析調査責任者。
CNO,Chief Network Officer 。最高ネットワーク責任者。
CPO,"Chief Privacy Officer 。最高個人情報保護責任者。
Chief People Officer 。最高人材活用責任者。
Chief Production Officer 。最高生産管理責任者。
Chief Project Officer 。最高計画責任者。"
CQO,Chief Quality Officer 。最高品質責任者。
CRO,"Chief Risk Officer 。最高リスク管理責任者。
Chief Revenue Officer 。最高売上責任者。"
CSO,"Chief Security Officer 。最高セキュリティ責任者。
Chief Strategy Officer 。最高戦略責任者。
Chief Safety Officer 。最高安全責任者。
Chief Storage Officer 。最高ストレージ管理責任者。"
CUO,Chief Rnderwriting Officer 。最高契約査定責任者。
CVO,Chief Visionary Officer 。最高事業計画責任者。
CISO,Chief Information Security Officer 。最高情報セキュリティ責任者。
CSRO,Chief Social Responsibility Officer 。最高社会的責任担当者。
ハック,
ハッキング,
ハッカー,
団長,
高官,
大統領,
首相,
官僚,
大使,
男爵,
大臣,
博士,
男性,
女性,
ニューハーフ,
オカマ,
代理人,
公使,
参事官,
書記,
総領事,
外交官,
補佐,
職員,
執政官,
領事,
太政官,
天皇,
長官,
担当,
総理,
法相,
外相,
農相,
宰相,
総統,
主席,
政務官,
ワズィール,
会長,
監査役,
顧問,
相談役,
局長,
次長,
室長,
班長,
リーダー,
研究員,
審議官,
事務次官,
官房長,
主査,
係員,
理事長,
総裁,
分掌官,
エンジニア,
技術者,
運転手,
組員,
団員,
役員,
構成員,
組長,
議員,
知事,
店長,
美術家,
税理士,
薬剤師,
獣医師,
医師,
教諭,
教授,
編集者,
記者,
美術家,
デザイナー,
メンバー,
写真家,
撮影者,
音楽家,
芸術家,
庶務,
事務員,
販売員,
集金人,
検針員,
オペレーター,
仲介人,
仲介者,
配達員,
美容師,
自衛官,
補完間,
保安官,
看守,
整備士,
監視員,
変電員,
発電員,
採取員,
マネージャー,
クリエイター,
カメラマン,
専門職,
アシスタント,
バイヤー,
宣伝塔,
リサーチャー,
スタッフ,
コンダクター,
手配人,
添乗員,
バイザー,
エステシャン,
警備員,
守衛,
プランナー,
ディレクター,
コーディネーター,
ディストリビューター,
講師,
指導員,
インストラクター,
マーチャンダイザー,
コンサルタント,
俳優,
役者,
女優,
税理士,
行政書士,
弁護士,
会計士,
労務士,
アドバイザリー,
トレーダー,
アクチュアリー,
ストラテジスト,
アナリスト,
エコノミスト,
公務員,
裁判官,
消防官,
警察官,
自衛官,
スパイ,
テスター,
サイエンティスト,
開発者,
工場長,
整備士,
ライター,
大工,
左官,
鳶職,
塗装工,
作業員,
スペシャリスト,
ドクター,
栄養士,
病院長,
事務長,
心理士,
カウンセラー,
技師,
保健師,
看護師,
看護婦,
ケースワーカー,
ヘルパー,
施設長,
院長,
編集長,
プログラマ,
プログラマー,
アーティスト,
デバッカー,
イラストレーター,
グラフィッカー,
コスプレイヤー,
アイドル,
オタク,
学生,
学者,
アルバイト,
パート,
派遣職,
社員,
フリーランス,
ブロガー,
区長,
市長,
エージェント,
アントレプレナー,
ギーク,
スポーツ選手,
アスリート,
ジャーナリスト,
